,cancer_type,sex,age_min,age_max,age_mid,region,start_year,end_year,year_mid,survival_rate
4224,Prostate ,Males,55,64,59.5,Canada (excluding Quebec),2007,2009,2008.0,98.0
4225,Prostate ,Males,55,64,59.5,Canada (excluding Quebec),2008,2010,2009.0,98.0
4222,Prostate ,Males,55,64,59.5,Canada (excluding Quebec),2005,2007,2006.0,98.0
4223,Prostate ,Males,55,64,59.5,Canada (excluding Quebec),2006,2008,2007.0,98.0
83,Chronic lymphocytic leukemia ,Females,55,64,59.5,Canada (excluding Quebec),2006,2008,2007.0,98.0
274,Chronic lymphocytic leukemia ,Males,15,54,34.5,Canada (excluding Quebec),2013,2015,2014.0,98.0
42,Chronic lymphocytic leukemia ,Females,15,54,34.5,Canada (excluding Quebec),2011,2013,2012.0,98.0
4200,Prostate ,Males,55,64,59.5,Canada,2006,2008,2007.0,98.0
4221,Prostate ,Males,55,64,59.5,Canada (excluding Quebec),2004,2006,2005.0,98.0
4199,Prostate ,Males,55,64,59.5,Canada,2005,2007,2006.0,98.0
251,Chronic lymphocytic leukemia ,Males,15,54,34.5,Canada,2013,2015,2014.0,98.0
4228,Prostate ,Males,55,64,59.5,Canada (excluding Quebec),2011,2013,2012.0,97.0
67,Chronic lymphocytic leukemia ,Females,55,64,59.5,Canada,2013,2015,2014.0,97.0
4273,Prostate ,Males,65,74,69.5,Canada (excluding Quebec),2010,2012,2011.0,97.0
4267,Prostate ,Males,65,74,69.5,Canada (excluding Quebec),2004,2006,2005.0,97.0
4272,Prostate ,Males,65,74,69.5,Canada (excluding Quebec),2009,2011,2010.0,97.0
4269,Prostate ,Males,65,74,69.5,Canada (excluding Quebec),2006,2008,2007.0,97.0
4268,Prostate ,Males,65,74,69.5,Canada (excluding Quebec),2005,2007,2006.0,97.0
66,Chronic lymphocytic leukemia ,Females,55,64,59.5,Canada,2012,2014,2013.0,97.0
4226,Prostate ,Males,55,64,59.5,Canada (excluding Quebec),2009,2011,2010.0,97.0
45,Chronic lymphocytic leukemia ,Females,15,54,34.5,Canada (excluding Quebec),2014,2016,2015.0,97.0
90,Chronic lymphocytic leukemia ,Females,55,64,59.5,Canada (excluding Quebec),2013,2015,2014.0,97.0
43,Chronic lymphocytic leukemia ,Females,15,54,34.5,Canada (excluding Quebec),2012,2014,2013.0,97.0
44,Chronic lymphocytic leukemia ,Females,15,54,34.5,Canada (excluding Quebec),2013,2015,2014.0,97.0
41,Chronic lymphocytic leukemia ,Females,15,54,34.5,Canada (excluding Quebec),2010,2012,2011.0,97.0
4227,Prostate ,Males,55,64,59.5,Canada (excluding Quebec),2010,2012,2011.0,97.0
4176,Prostate ,Males,15,54,34.5,Canada (excluding Quebec),2005,2007,2006.0,97.0
4177,Prostate ,Males,15,54,34.5,Canada (excluding Quebec),2006,2008,2007.0,97.0
4205,Prostate ,Males,55,64,59.5,Canada,2011,2013,2012.0,97.0
4179,Prostate ,Males,15,54,34.5,Canada (excluding Quebec),2008,2010,2009.0,97.0
89,Chronic lymphocytic leukemia ,Females,55,64,59.5,Canada (excluding Quebec),2012,2014,2013.0,97.0
88,Chronic lymphocytic leukemia ,Females,55,64,59.5,Canada (excluding Quebec),2011,2013,2012.0,97.0
91,Chronic lymphocytic leukemia ,Females,55,64,59.5,Canada (excluding Quebec),2014,2016,2015.0,97.0
4178,Prostate ,Males,15,54,34.5,Canada (excluding Quebec),2007,2009,2008.0,97.0
4219,Prostate ,Males,55,64,59.5,Canada (excluding Quebec),2002,2004,2003.0,97.0
4218,Prostate ,Males,55,64,59.5,Canada (excluding Quebec),2001,2003,2002.0,97.0
4195,Prostate ,Males,55,64,59.5,Canada,2001,2003,2002.0,97.0
4203,Prostate ,Males,55,64,59.5,Canada,2009,2011,2010.0,97.0
4204,Prostate ,Males,55,64,59.5,Canada,2010,2012,2011.0,97.0
4198,Prostate ,Males,55,64,59.5,Canada,2004,2006,2005.0,97.0
4196,Prostate ,Males,55,64,59.5,Canada,2002,2004,2003.0,97.0
4197,Prostate ,Males,55,64,59.5,Canada,2003,2005,2004.0,97.0
4206,Prostate ,Males,55,64,59.5,Canada,2012,2014,2013.0,97.0
